id,date,Home,Away,round,result,Home_Points_Before,home_halftime_score,home_fulltime_score,home_extratime_score,home_penalty_score,Away_Points_Before,away_halftime_score,away_fulltime_score,away_extratime_score,away_penalty_score
721850,2021-10-24 02:00:00+00:00,Guadalajara Chivas,Cruz Azul,Apertura - 15,d,18,0,1,,,19,1,1,,
721851,2021-10-24 17:00:00+00:00,U.N.A.M. - Pumas,Club Tijuana,Apertura - 15,h,14,1,3,,,9,0,1,,
721853,2021-10-24 22:06:00+00:00,Monterrey,Necaxa,Apertura - 15,a,20,0,0,,,14,0,1,,
721855,2021-10-25 00:00:00+00:00,Atletico San Luis,Atlas,Apertura - 15,a,17,0,2,,,23,4,6,,
721854,2021-10-25 00:06:00+00:00,Santos Laguna,Toluca,Apertura - 15,d,16,1,2,,,22,0,2,,
721856,2021-10-25 02:00:00+00:00,Pachuca,FC Juarez,Apertura - 15,d,15,0,1,,,15,1,1,,
721857,2021-10-29 00:00:00+00:00,Atlas,Club Tijuana,Apertura - 16,a,26,0,0,,,9,1,2,,
721858,2021-10-30 00:00:00+00:00,Necaxa,Mazatlán,Apertura - 16,h,17,1,2,,,20,0,1,,
721859,2021-10-30 02:00:00+00:00,FC Juarez,Puebla,Apertura - 16,a,16,0,0,,,18,0,2,,
721860,2021-10-30 23:00:00+00:00,Club Queretaro,Santos Laguna,Apertura - 16,a,15,0,2,,,17,2,3,,
721861,2021-10-31 01:06:00+00:00,Pachuca,U.N.A.M. - Pumas,Apertura - 16,d,16,0,1,,,17,1,1,,
721862,2021-10-31 02:10:00+00:00,Tigres UANL,Guadalajara Chivas,Apertura - 16,h,22,1,2,,,19,0,1,,
721863,2021-10-31 18:00:00+00:00,Toluca,Leon,Apertura - 16,d,23,0,0,,,22,0,0,,
721864,2021-10-31 23:05:00+00:00,Cruz Azul,Club America,Apertura - 16,h,20,1,2,,,34,0,1,,
721865,2021-11-01 01:05:00+00:00,Atletico San Luis,Monterrey,Apertura - 16,d,17,0,1,,,20,1,1,,
721766,2021-11-04 01:00:00+00:00,Pachuca,Atletico San Luis,Apertura - 5,d,17,0,0,,,18,0,0,,
